samplename	Run       	layout
SRX2878035	SRR5639635	SE
SRX2877992	SRR5639592	SE
SRX2877991	SRR5639591	SE
SRX2877990	SRR5639590	SE
SRX2877988	SRR5639588	SE
SRX2877987	SRR5639587	SE
SRX3291829	SRR6181221	SE
SRX3291828	SRR6181220	SE
SRX3291815	SRR6181207	SE
SRX3291745	SRR6181137	SE
SRX3291744	SRR6181136	SE
SRX3291729	SRR6181121	SE
SRX3291728	SRR6181120	SE
SRX2512369	SRR5196711	PE
SRX2512368	SRR5196710	PE
SRX2325627	SRR4896315	PE
SRX2325624	SRR4896312	PE
